 i |    a    |    b    |   f(a)   |   f(b)  |   b-a   | (b-a)/x
 1 | 2.00000 | 3.00000 | -3.00000 | 2.00000 | 1.00000 | 0.40000
 2 | 2.50000 | 3.00000 | -0.75000 | 2.00000 | 0.50000 | 0.18182
 3 | 2.50000 | 2.75000 | -0.75000 | 0.56250 | 0.25000 | 0.09524
 4 | 2.62500 | 2.75000 | -0.10938 | 0.56250 | 0.12500 | 0.04651
 5 | 2.62500 | 2.68750 | -0.10938 | 0.22266 | 0.06250 | 0.02353
 6 | 2.62500 | 2.65625 | -0.10938 | 0.05566 | 0.03125 | 0.01183
 7 | 2.64062 | 2.65625 | -0.02710 | 0.05566 | 0.01562 | 0.00590
 8 | 2.64062 | 2.64844 | -0.02710 | 0.01422 | 0.00781 | 0.00295
 9 | 2.64453 | 2.64844 | -0.00645 | 0.01422 | 0.00391 | 0.00148
10 | 2.64453 | 2.64648 | -0.00645 | 0.00388 | 0.00195 | 0.00074
